Unnamed: 0,game_id,season,home_team,away_team,week,season_type,team.x,team.y,url
1779,2015_13_ARI_STL,2015,LA,ARI,13,REG,rams,cardinals,https://www.nfl.com/plus/games/cardinals-at-rams-2015-reg-13/
1341,2014_01_IND_DEN,2014,DEN,IND,1,REG,broncos,colts,https://www.nfl.com/plus/games/colts-at-broncos-2014-reg-1/
3521,2022_03_PIT_CLE,2022,CLE,PIT,3,REG,browns,steelers,https://www.nfl.com/plus/games/steelers-at-browns-2022-reg-3/
636,2011_07_STL_DAL,2011,DAL,LA,7,REG,cowboys,rams,https://www.nfl.com/plus/games/rams-at-cowboys-2011-reg-7/
1461,2014_09_JAX_CIN,2014,CIN,JAX,9,REG,bengals,jaguars,https://www.nfl.com/plus/games/jaguars-at-bengals-2014-reg-9/
980,2012_13_CIN_SD,2012,LAC,CIN,13,REG,chargers,bengals,https://www.nfl.com/plus/games/bengals-at-chargers-2012-reg-13/
2624,2018_15_SEA_SF,2018,SF,SEA,15,REG,49ers,seahawks,https://www.nfl.com/plus/games/seahawks-at-49ers-2018-reg-15/
2,2009_01_CHI_GB,2009,GB,CHI,1,REG,packers,bears,https://www.nfl.com/plus/games/bears-at-packers-2009-reg-1/
936,2012_10_DAL_PHI,2012,PHI,DAL,10,REG,eagles,cowboys,https://www.nfl.com/plus/games/cowboys-at-eagles-2012-reg-10/
621,2011_06_NO_TB,2011,TB,NO,6,REG,buccaneers,saints,https://www.nfl.com/plus/games/saints-at-buccaneers-2011-reg-6/
3651,2022_12_NO_SF,2022,SF,NO,12,REG,49ers,saints,https://www.nfl.com/plus/games/saints-at-49ers-2022-reg-12/
3621,2022_10_MIN_BUF,2022,BUF,MIN,10,REG,bills,vikings,https://www.nfl.com/plus/games/vikings-at-bills-2022-reg-10/
3604,2022_09_LA_TB,2022,TB,LA,9,REG,buccaneers,rams,https://www.nfl.com/plus/games/rams-at-buccaneers-2022-reg-9/
1349,2014_01_SF_DAL,2014,DAL,SF,1,REG,cowboys,49ers,https://www.nfl.com/plus/games/49ers-at-cowboys-2014-reg-1/
3552,2022_05_SEA_NO,2022,NO,SEA,5,REG,saints,seahawks,https://www.nfl.com/plus/games/seahawks-at-saints-2022-reg-5/
1518,2014_13_MIA_NYJ,2014,NYJ,MIA,13,REG,jets,dolphins,https://www.nfl.com/plus/games/dolphins-at-jets-2014-reg-13/
3606,2022_09_MIA_CHI,2022,CHI,MIA,9,REG,bears,dolphins,https://www.nfl.com/plus/games/dolphins-at-bears-2022-reg-9/
3989,2023_16_DET_MIN,2023,MIN,DET,16,REG,vikings,lions,https://www.nfl.com/plus/games/lions-at-vikings-2023-reg-16/
3445,2021_17_NYG_CHI,2021,CHI,NYG,17,REG,bears,giants,https://www.nfl.com/plus/games/giants-at-bears-2021-reg-17/
3546,2022_05_LAC_CLE,2022,CLE,LAC,5,REG,browns,chargers,https://www.nfl.com/plus/games/chargers-at-browns-2022-reg-5/
1375,2014_03_KC_MIA,2014,MIA,KC,3,REG,dolphins,chiefs,https://www.nfl.com/plus/games/chiefs-at-dolphins-2014-reg-3/
2344,2017_14_WAS_LAC,2017,LAC,WAS,14,REG,chargers,redskins,https://www.nfl.com/plus/games/redskins-at-chargers-2017-reg-14/
735,2011_14_NE_WAS,2011,WAS,NE,14,REG,redskins,patriots,https://www.nfl.com/plus/games/patriots-at-redskins-2011-reg-14/
931,2012_09_PHI_NO,2012,NO,PHI,9,REG,saints,eagles,https://www.nfl.com/plus/games/eagles-at-saints-2012-reg-9/
2855,2019_13_NO_ATL,2019,ATL,NO,13,REG,falcons,saints,https://www.nfl.com/plus/games/saints-at-falcons-2019-reg-13/
1702,2015_07_NYJ_NE,2015,NE,NYJ,7,REG,patriots,jets,https://www.nfl.com/plus/games/jets-at-patriots-2015-reg-7/
223,2009_15_SF_PHI,2009,PHI,SF,15,REG,eagles,49ers,https://www.nfl.com/plus/games/49ers-at-eagles-2009-reg-15/
44,2009_03_NYG_TB,2009,TB,NYG,3,REG,buccaneers,giants,https://www.nfl.com/plus/games/giants-at-buccaneers-2009-reg-3/
3789,2023_02_SF_LA,2023,LA,SF,2,REG,rams,49ers,https://www.nfl.com/plus/games/49ers-at-rams-2023-reg-2/
